match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,match_victor
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.86,26.441,0,nan,BW,0.0,1.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:00:35,1,1,2,0,0,0,0,0,15,2,2,1,1,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.33,2.785,0,nan,B,1.0,nan,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:01:00,1,1,3,0,0,0,0,15,15,2,2,2,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20.223,20.422,0,nan,BW,0.0,0.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:01:37,1,1,4,0,0,0,0,15,30,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18.855999999999998,27.555,0,nan,BW,0.0,0.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:02:05,1,1,5,0,0,0,0,30,30,2,1,1,3,2,2,1,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,29.052,27.375,0,nan,C,0.0,1.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:02:34,1,1,6,0,0,0,0,40,30,2,1,2,3,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,36.510999999999996,40.949,0,nan,BW,0.0,0.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:03:23,1,1,7,0,0,0,0,40,40,2,1,2,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.181,4.689,0,nan,C,1.0,1.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:03:45,1,1,8,0,0,0,0,40,50,2,1,1,4,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.668,9.575,0,nan,C,1.0,1.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:04:08,1,1,9,0,0,0,0,40,40,2,1,2,4,5,2,1,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.696999999999996,34.644,0,nan,BC,0.0,0.0,1
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,0:04:56,1,1,10,0,0,0,0,40,50,2,2,1,5,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.672000000000001,5.229,0,nan,B,0.0,0.0,1
