match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,round_no,match_no
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,0,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,15.999,18.557,3,112,Wide,True,False,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,26,1,1,2,0,0,0,0,0,15,2,2,1,1,1,0,0,False,False,False,False,,0,0,False,True,False,True,False,False,False,False,False,False,False,False,26.087,22.571,6,100,Body,False,False,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,70,1,1,3,0,0,0,0,15,15,2,2,2,1,2,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,4.538,5.213,1,109,Body,True,True,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,102,1,1,4,0,0,0,0,15,30,2,1,1,2,2,0,0,False,False,True,False,Backhand,0,0,False,False,False,True,False,False,False,False,False,False,False,False,6.779,7.981,2,124,Wide,True,False,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,125,1,1,5,0,0,0,0,30,30,2,2,1,3,2,0,0,False,False,False,False,,0,1,False,True,False,False,False,False,False,False,False,False,False,False,1.038,0.961,0,,Wide,True,,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,154,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,False,False,False,True,Backhand,0,0,False,False,False,True,False,True,True,False,False,False,True,False,9.169,15.126,3,127,Body/Wide,False,,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,178,1,1,7,0,0,0,0,40,40,2,1,1,4,3,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,42.78,43.622,10,127,Body,False,False,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,217,1,1,8,0,0,0,0,AD,40,2,1,1,5,3,1,0,False,False,False,False,,0,0,False,True,False,False,False,False,True,False,True,False,False,False,7.379,8.473,2,132,Center,False,False,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,280,1,2,9,0,0,1,0,0,0,1,2,2,5,4,0,0,False,False,False,False,,0,0,True,False,False,False,False,False,False,False,False,False,False,False,17.583,28.239,6,102,Body,False,False,4,3
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,314,1,2,10,0,0,1,0,0,15,1,2,1,6,4,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,3.202,4.835,1,104,Center,False,True,4,3
