match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,round_no,match_no
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,0,1,1,1,0,0,0,0,Love,Love,1,1,2,0,1,0,0,False,False,False,True,Forehand,0,0,False,False,False,False,False,False,False,False,False,False,False,False,22.251,22.48,6,126,Body/Center,True,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,32,1,1,2,0,0,0,0,Love,15,1,1,1,1,1,0,0,False,False,True,False,Forehand,0,0,False,False,True,False,True,False,False,False,False,False,False,False,36.93,33.856,9,123,Body,False,True,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,71,1,1,3,0,0,0,0,15,15,1,2,1,2,1,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,8.062,9.631,3,86,Body/Center,False,True,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,111,1,1,4,0,0,0,0,30,15,1,1,1,3,1,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,16.065,14.496,5,117,Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,135,1,1,5,0,0,0,0,40,15,1,1,2,3,2,0,0,False,False,False,False,,0,0,True,False,False,False,False,False,False,False,False,False,False,False,5.643,6.899,2,126,Body,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,157,1,1,6,0,0,0,0,40,30,1,2,1,4,2,1,0,False,False,True,False,Backhand,0,0,False,False,True,False,True,False,False,False,False,False,False,False,26.64,20.464,5,83,Body,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,255,1,2,7,0,0,1,0,Love,Love,2,1,2,4,3,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,3.32,2.485,1,127,Wide,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,274,1,2,8,0,0,1,0,Love,15,2,2,1,5,3,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,15.394,18.588,4,101,Body,False,True,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,324,1,2,9,0,0,1,0,15,15,2,1,2,5,4,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,3.951,3.014,1,122,Body/Wide,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,345,1,2,10,0,0,1,0,15,30,2,1,2,5,5,0,0,False,False,False,True,Forehand,0,0,False,False,False,True,False,True,False,False,False,False,False,False,7.406,6.779,3,134,Wide,True,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,368,1,2,11,0,0,1,0,15,40,2,2,1,6,5,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,10.716,6.534,2,101,Body/Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,400,1,2,12,0,0,1,0,30,40,2,1,2,6,6,2,0,False,True,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0.945,0.759,1,134,Body/Wide,False,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,426,1,3,13,0,0,1,1,Love,Love,1,2,1,7,6,0,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,17.624,20.094,5,93,Body/Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,462,1,3,14,0,0,1,1,15,Love,1,1,1,8,6,0,0,False,False,True,False,Forehand,0,0,False,False,True,False,True,False,False,False,False,False,False,False,21.519,16.597,5,130,Body/Wide,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,491,1,3,15,0,0,1,1,30,Love,1,2,2,8,7,0,0,False,False,False,False,,0,0,False,False,False,True,False,True,False,False,False,False,False,False,21.083,43.281,6,101,Body/Center,False,True,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,532,1,3,16,0,0,1,1,30,15,1,1,1,9,7,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,10.667,14.729,3,121,Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,557,1,3,17,0,0,1,1,40,15,1,2,1,10,7,1,0,False,False,False,False,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,6.335,6.915,1,103,Body/Wide,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,654,1,4,18,0,0,2,1,Love,Love,2,2,1,11,7,0,0,False,False,False,False,,0,1,False,True,False,False,False,False,False,False,False,False,False,False,1.993,1.803,0,,Center,False,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,679,1,4,19,0,0,2,1,15,Love,2,1,1,12,7,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,66.523,52.365,12,131,Body/Wide,False,True,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,731,1,4,20,0,0,2,1,30,Love,2,1,2,12,8,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,4.591,3.213,1,137,Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,763,1,4,21,0,0,2,1,30,15,2,1,2,12,9,0,0,False,True,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,1.386,0.783,1,132,Wide,True,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,789,1,4,22,0,0,2,1,30,30,2,1,2,12,10,0,0,False,True,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0.691,1.426,1,125,Wide,True,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,815,1,4,23,0,0,2,1,30,40,2,1,2,12,11,2,0,False,False,False,True,Forehand,0,0,False,False,False,True,False,True,False,False,False,False,False,False,8.549,7.363,3,134,Center,True,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,845,1,5,24,0,0,2,2,Love,Love,1,1,1,13,11,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,9.857,12.407,1,115,Wide,True,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,866,1,5,25,0,0,2,2,15,Love,1,2,1,14,11,0,0,True,False,True,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,1.033,1.393,1,85,Wide,True,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,894,1,5,26,0,0,2,2,30,Love,1,2,1,15,11,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,20.998,29.193,5,92,Center,False,True,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,927,1,5,27,0,0,2,2,40,Love,1,2,1,16,11,1,0,False,False,False,False,,0,0,False,False,True,False,True,False,False,False,False,False,False,False,15.986,11.872,3,91,Body/Wide,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1036,1,6,28,0,0,3,2,Love,Love,2,2,2,16,12,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,2.872,1.934,1,109,Body/Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1066,1,6,29,0,0,3,2,Love,15,2,2,2,16,13,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,11.212,9.681,3,111,Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1102,1,6,30,0,0,3,2,Love,30,2,1,2,16,14,0,0,False,True,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,1.223,0.75,1,134,Center,True,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1123,1,6,31,0,0,3,2,Love,40,2,1,1,17,14,0,0,False,False,True,False,Backhand,0,0,False,False,False,False,False,False,False,False,False,False,False,False,25.214,16.516,4,135,Body/Wide,True,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1147,1,6,32,0,0,3,2,15,40,2,1,2,17,15,2,0,False,True,False,True,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0.721,0.543,1,121,Body/Wide,False,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1175,1,7,33,0,0,3,3,Love,Love,1,2,2,17,16,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,18.074,23.848,4,89,Center,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1211,1,7,34,0,0,3,3,Love,15,1,2,1,18,16,0,0,False,False,False,False,,0,0,False,True,False,True,False,False,False,False,False,False,False,False,12.432,15.817,3,91,Body/Wide,False,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1243,1,7,35,0,0,3,3,15,15,1,2,2,18,17,0,0,False,False,False,False,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,2.479,2.185,0,,Body/Center,True,,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1270,1,7,36,0,0,3,3,15,30,1,1,1,19,17,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,32.973,38.819,7,125,Wide,True,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1307,1,7,37,0,0,3,3,30,30,1,2,2,19,18,0,0,False,False,False,True,Forehand,0,0,False,False,False,False,False,False,False,False,False,False,False,False,27.387,28.484,8,94,Body/Center,False,True,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1375,1,7,38,0,0,3,3,30,40,1,1,1,20,18,0,0,False,False,False,False,,0,0,False,False,False,False,False,False,False,True,False,False,False,True,26.582,54.429,7,125,Center,True,False,4,7
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,1417,1,7,39,0,0,3,3,40,40,1,1,1,21,18,0,0,False,False,True,False,Forehand,0,0,False,False,True,False,True,False,False,False,False,False,False,False,20.337,18.116,5,112,Body/Wide,False,True,4,7
